X,state,county_name,county.FIPS,date,female,below_18,above_65,median_house_income,population,driving_alone_to_work,smoking,flu_vac,some_college,social_association,traffic,black,hispanic,Rural.urban_Continuum_Code_2013,PCTPOVALL_2018,population.density,distance_one_week_before,distance_two_weeks_before,distance_three_weeks_before,cases_one_week_before,cases_two_weeks_before,cases_three_weeks_before,death_one_week_before,death_two_weeks_before,death_three_weeks_before,cumulative_dose,non_metro
642,IL,Tazewell County,17179,2020/7/1,0.508494045,0.226671604,0.187647361,61508,131803,0.868079114,0.153013273,0.52,0.693547908,13.92987134,149.3246245,0.012574814,0.023199928,2,9.6,203.0956747,-0.39506965,-0.331113721,-0.413869418,28.07219866,18.20899373,14.41545337,2.276124216,2.276124216,1.517416144,-0.151275105,0
2561,TX,Lamar County,48277,2020/7/1,0.517977799,0.237954472,0.191984395,45767,49859,0.822067975,0.179734809,0.48,0.529426993,15.3265977,88.11543145,0.131073037,0.080578346,5,14.4,54.95982099,-0.209794927,-0.191116613,-0.300278912,16.0452476,16.0452476,16.0452476,0,0,0,-0.034424577,1
2984,WI,Polk County,55095,2020/7/1,0.495940181,0.208885729,0.206179183,59990,43783,0.817627887,0.155687921,0.45,0.639995669,16.11047181,32.06632696,0.004059819,0.020253223,6,9.6,47.90472231,-0.402800453,-0.364234314,-0.437082372,9.135966014,9.135966014,6.851974511,0,0,0,-0.161726342,1
895,KS,Labette County,20099,2020/7/1,0.502554598,0.240032058,0.190943699,44571,19618,0.851093333,0.192347636,0.36,0.591009743,14.39563167,46.30393922,0.039771589,0.046583851,7,16,30.40136371,-0.31671911,-0.287340717,-0.426740612,107.0445509,101.9471914,91.75247222,0,0,0,-0.138050881,1
647,IL,Washington County,17189,2020/7/1,0.500678814,0.213862094,0.201143266,66937,13887,0.856999282,0.148982268,0.47,0.736394041,24.94654312,50.46798349,0.008645945,0.014433726,6,7.4,24.6849281,-0.136498599,-0.185851899,-0.290880427,57.60783467,50.40685533,14.40195867,0,0,0,0.003776508,1
648,IL,Wayne County,17191,2020/7/1,0.507959834,0.227038942,0.21534411,50471,16215,0.81557047,0.160569158,0.43,0.633940713,23.64352834,72.33346298,0.005755572,0.015429831,7,13.8,22.71612894,-0.327278634,-0.269902453,-0.34834547,12.3342584,6.167129201,0,0,0,0,-0.105608489,1
649,IL,White County,17193,2020/7/1,0.507354555,0.218660812,0.216099524,49507,13537,0.837562576,0.159895557,0.41,0.65,27.98105898,110.9221138,0.005561654,0.01485547,6,12.3,27.36018756,-0.261232475,-0.2625879,-0.35640014,7.387161114,7.387161114,0,0,0,0,-0.0612668,1
1645,NE,Madison County,31119,2020/7/1,0.50528368,0.253418852,0.159442812,55226,35099,0.813278924,0.15489283,0.5,0.673175865,17.9262463,66.33949378,0.012093128,0.157888788,5,11.7,61.28260642,-0.337944887,-0.309782709,-0.329529595,259.2666458,31.33992421,17.09450412,8.547252058,5.698168039,5.698168039,-0.126998851,1
2663,TX,Williamson County,48491,2020/7/1,0.507556655,0.256345738,0.121732287,87817,590551,0.799694091,0.125652498,0.52,0.750540505,6.246061968,204.6075827,0.065240445,0.247620073,1,6.4,528.0792274,-0.392824942,-0.383063588,-0.464671125,48.59868157,26.4160081,20.15067285,1.016000312,0.677333541,0.677333541,-0.183113982,0
2787,VA,Roanoke County,51161,2020/7/1,0.518097648,0.198229035,0.214205989,68734,94186,0.860444484,0.149945198,0.55,0.739104395,11.94921583,135.6163522,0.060091631,0.031454296,2,6.7,375.961999,-0.333666198,-0.320302453,-0.373272605,43.53088569,25.48149406,19.11112055,0,0,0,-0.09721577,0
655,IN,Adams County,18001,2020/7/1,0.500392861,0.312998092,0.155011786,56693,35777,0.739738622,0.204544449,0.44,0.523214286,14.93336339,84.12910398,0.005247503,0.04624537,6,11.6,105.5275344,-0.332018024,-0.320629198,-0.407017866,19.56564273,19.56564273,13.97545909,2.795091819,2.795091819,2.795091819,-0.087498184,1
656,IN,Allen County,18003,2020/7/1,0.511222829,0.256844927,0.145778218,54473,379299,0.840730877,0.19774598,0.48,0.667980081,11.37104193,162.4609385,0.11574766,0.076080788,2,13.5,577.0473597,-0.442904463,-0.42863639,-0.435677664,128.9220378,86.73895792,41.65579134,9.491192964,6.063817727,3.427375237,-0.146038945,0
975,KY,Clark County,21049,2020/7/1,0.51160032,0.22309581,0.178763552,50162,36263,0.826339453,0.188511999,0.46,0.609596017,10.54208511,93.94129304,0.047090954,0.030621534,2,16,143.6385962,-0.282260646,-0.299927282,-0.304086599,52.39500317,49.63737143,49.63737143,0,0,0,-0.073342736,0
659,IN,Blackford County,18009,2020/7/1,0.506370495,0.217686505,0.216261526,45161,11758,0.864854662,0.197089253,0.48,0.549542683,20.04008016,20.85309533,0.006621961,0.01751886,6,14.1,71.22607221,-0.400666611,-0.338476595,-0.314672944,59.53393434,51.02908658,42.52423882,8.504847763,8.504847763,0,-0.11057419,1
662,IN,Carroll County,18015,2020/7/1,0.497341879,0.221145725,0.196204104,57092,20257,0.828489966,0.183413534,0.48,0.541529695,12.97469934,55.82678527,0.006359616,0.040940031,3,8.8,54.42211595,-0.302831903,-0.247625695,-0.384469302,88.85817248,34.55595597,24.68282569,4.936565138,4.936565138,0,-0.097908678,0
816,IA,Muscatine County,19139,2020/7/1,0.500291179,0.249039111,0.166437606,58465,42664,0.857969787,0.152994747,0.6,0.586946165,10.02798508,577.5220588,0.025204407,0.183186191,4,11.8,97.52440167,-0.348758649,-0.338154394,-0.344751645,728.9518095,510.9694356,239.0774423,16.40727545,9.375585974,4.687792987,-0.088762782,1
665,IN,Clay County,18021,2020/7/1,0.505922812,0.230187237,0.178639664,52699,26225,0.841016696,0.199880034,0.41,0.563413484,15.65004962,138.862816,0.006801681,0.014252961,3,13.8,73.34843654,-0.226956779,-0.239886574,-0.282691046,72.44995234,76.26310772,45.75786463,3.813155386,0,0,-0.088345745,0
668,IN,Daviess County,18027,2020/7/1,0.496153498,0.292997858,0.153256705,55434,33351,0.728781513,0.200423808,0.3,0.42125312,14.79781355,50.16275076,0.020394003,0.049446405,7,11.5,77.65256467,-0.315237038,-0.29569676,-0.39001744,134.9284879,104.9443795,29.98410842,26.98569758,11.99364337,2.998410842,-0.087125334,1
669,IN,Dearborn County,18029,2020/7/1,0.502723531,0.223168173,0.177110232,66502,49458,0.862450817,0.200873821,0.53,0.582423435,11.45935948,121.7056142,0.006415429,0.013315042,1,9.4,162.1414287,-0.395777907,-0.3855863,-0.425799124,171.8629949,137.4903959,121.3150552,12.13150552,10.10958793,6.06575276,-0.132774693,0
953,KY,Anderson County,21005,2020/7/1,0.509906014,0.235405727,0.157613732,60908,22747,0.878826036,0.191322716,0.45,0.581986563,9.315117104,50.28579293,0.02056215,0.018047037,6,10,112.7037606,-0.378991035,-0.37004232,-0.361521653,35.1694729,30.77328879,13.18855234,4.396184112,4.396184112,4.396184112,-0.10735184,1
673,IN,Dubois County,18037,2020/7/1,0.500223188,0.2414425,0.174556561,62126,42736,0.891502793,0.169562858,0.45,0.636806131,13.86343343,143.0206975,0.006366733,0.078256784,5,7.6,100.021064,-0.392197508,-0.397038579,-0.449106697,42.11905653,37.43916136,30.41931861,0,0,0,-0.128488906,1
